iter	RMSE
0	38.32967301
1	37.97879312
2	37.65613374
3	37.33355188
4	37.05039797
5	36.76296219
6	36.46049407
7	36.20630393
8	35.92890612
9	35.65594395
10	35.42868466
11	35.19765702
12	34.96285042
13	34.74976782
14	34.5343525
15	34.35514354
16	34.14791423
17	33.95036256
18	33.7895152
19	33.61625285
20	33.44913771
21	33.29905434
22	33.16672062
23	33.02861834
24	32.909341
25	32.77048187
26	32.64969653
27	32.53877871
28	32.42073037
29	32.31935778
30	32.213457
31	32.141299
32	32.03813301
33	31.93730154
34	31.84586665
35	31.77758361
36	31.69813466
37	31.61134338
38	31.5266161
39	31.43793433
40	31.36134896
41	31.28812949
42	31.21680921
43	31.16076068
44	31.08445204
45	31.00916898
46	30.9456995
47	30.87644615
48	30.81643566
49	30.75849493
50	30.70932627
51	30.65861933
52	30.60784927
53	30.56071814
54	30.50735325
55	30.46459105
56	30.41593117
57	30.3638174
58	30.3316189
59	30.28092282
60	30.23491754
61	30.18997642
62	30.15337862
63	30.11271979
64	30.06576492
65	30.02148859
66	29.98072288
67	29.94226235
68	29.90893106
69	29.86844718
70	29.83033449
71	29.79553589
72	29.76307394
73	29.72843252
74	29.70240552
75	29.66942561
76	29.64010857
77	29.60841473
78	29.57820882
79	29.55202634
80	29.52546746
81	29.49211984
82	29.46267734
83	29.43633084
84	29.40906238
85	29.38028418
86	29.35350479
87	29.32536106
88	29.30136557
89	29.27530508
90	29.24577421
91	29.21944527
92	29.20387686
93	29.1883777
94	29.16470585
95	29.1410733
96	29.11585626
97	29.09673383
98	29.07406627
99	29.05302384
100	29.03533803
101	29.01364969
102	28.9991236
103	28.97941475
104	28.96087868
105	28.9400905
106	28.91550242
107	28.89470115
108	28.87410919
109	28.85483908
110	28.84162245
111	28.82057788
112	28.80222617
113	28.78738835
114	28.77263209
115	28.75694968
116	28.73892025
117	28.72368662
118	28.70857767
119	28.69093967
120	28.68011312
121	28.66575679
122	28.66099195
123	28.64827917
124	28.63623238
125	28.62467143
126	28.60900234
127	28.59761126
128	28.57656733
129	28.55949784
130	28.54175742
131	28.52283001
132	28.50626781
133	28.49482851
134	28.48043928
135	28.46996833
136	28.459489
137	28.44690165
138	28.43734181
139	28.42745703
140	28.41741516
141	28.40589702
142	28.3936294
143	28.37527093
144	28.36445198
145	28.35358279
146	28.34239459
147	28.325944
148	28.31398003
149	28.30362516
150	28.28869344
151	28.2734177
152	28.26035392
153	28.25241371
154	28.23659734
155	28.22375839
156	28.21396754
157	28.20148017
158	28.19595166
159	28.18820052
160	28.17565261
161	28.16651164
162	28.14167188
163	28.12811773
164	28.11738005
165	28.10705669
166	28.09893284
167	28.09133827
168	28.07764716
169	28.06685951
170	28.05470069
171	28.04344461
172	28.0208288
173	28.01347507
174	27.99619972
175	27.99003273
176	27.96996642
177	27.96328047
178	27.94946609
179	27.93979451
180	27.93004852
181	27.92360582
182	27.91572275
183	27.90396278
184	27.89245388
185	27.88015457
186	27.87345678
187	27.86481366
188	27.8502629
189	27.84069076
190	27.82980545
191	27.82071039
192	27.81177606
193	27.80411996
194	27.7983265
195	27.78717402
196	27.7773975
197	27.77335755
198	27.76052483
199	27.75174379
200	27.74323405
201	27.7377601
202	27.73329988
203	27.7260462
204	27.71648782
205	27.70912605
206	27.69733102
207	27.68952222
208	27.67380428
209	27.66256
210	27.65742174
211	27.65439956
212	27.64629594
213	27.64072559
214	27.63307697
215	27.62646843
216	27.61985969
217	27.61040356
218	27.60639487
219	27.59648266
220	27.58801787
221	27.57608237
222	27.56753613
223	27.55529459
224	27.54909692
225	27.54192909
226	27.53739803
227	27.52624133
228	27.51913974
229	27.51074942
230	27.50451099
231	27.49810169
232	27.49103633
233	27.48199288
234	27.47600371
235	27.47047019
236	27.46391122
237	27.45791246
238	27.45152668
239	27.44321478
240	27.43780136
241	27.42995316
242	27.42542061
243	27.41999403
244	27.41030373
245	27.39975278
246	27.39411137
247	27.38377521
248	27.37814602
249	27.36969692
250	27.35957745
251	27.35689357
252	27.35119719
253	27.33629044
254	27.33008281
255	27.31623836
256	27.30944822
257	27.30374099
258	27.29459975
259	27.27514475
260	27.26736048
261	27.26345156
262	27.25889886
263	27.25197364
264	27.24530915
265	27.23456531
266	27.22298216
267	27.21710398
268	27.21229151
269	27.20197066
270	27.19614625
271	27.18387891
272	27.17797832
273	27.17584815
274	27.17015287
275	27.16463823
276	27.16223859
277	27.1582069
278	27.1525829
279	27.14583461
280	27.14098475
281	27.13689007
282	27.1302268
283	27.1211559
284	27.11784574
285	27.11372081
286	27.10346732
287	27.09762223
288	27.09167351
289	27.08608732
290	27.0834673
291	27.07976982
292	27.0770227
293	27.0709606
294	27.06370645
295	27.05923872
296	27.05172066
297	27.0470963
298	27.04458792
299	27.03966927
300	27.03722683
301	27.02165842
302	27.01639752
303	27.00902416
304	27.00006397
305	26.98396259
306	26.97972167
307	26.97233087
308	26.97025661
309	26.95882076
310	26.95353296
311	26.95018743
312	26.9435665
313	26.93790333
314	26.93128402
315	26.92934383
316	26.92602561
317	26.92334026
318	26.91813141
319	26.91236186
320	26.90657783
321	26.90041226
322	26.89498971
323	26.89319021
324	26.88803859
325	26.88510826
326	26.87817607
327	26.87348251
328	26.86970916
329	26.86558253
330	26.85245797
331	26.84346507
332	26.83529013
333	26.82897847
334	26.82425405
335	26.81881434
336	26.81615371
337	26.80755603
338	26.80405174
339	26.80141839
340	26.79630566
341	26.78910358
342	26.78007051
343	26.76973187
344	26.76539447
345	26.76252693
346	26.75810308
347	26.75477135
348	26.75324462
349	26.74373958
350	26.73454946
351	26.73241419
352	26.73017703
353	26.72322798
354	26.71687007
355	26.70933491
356	26.7053059
357	26.69849597
358	26.69211097
359	26.68669565
360	26.68191783
361	26.6779201
362	26.67215688
363	26.66850927
364	26.66445234
365	26.66130642
366	26.65836163
367	26.64629982
368	26.64103183
369	26.63905426
370	26.63686939
371	26.63506004
372	26.62835104
373	26.62578829
374	26.62192184
375	26.61478725
376	26.61138145
377	26.60553865
378	26.60144598
379	26.59586157
380	26.5907643
381	26.58704901
382	26.57901964
383	26.57298184
384	26.5703606
385	26.56709525
386	26.5618165
387	26.56048444
388	26.55687152
389	26.55229793
390	26.54420624
391	26.53968021
392	26.53341786
393	26.52829347
394	26.52244352
395	26.51426947
396	26.51146226
397	26.50289098
398	26.49323819
399	26.48299519
400	26.48115682
401	26.47771538
402	26.47113539
403	26.4660163
404	26.459179
405	26.45375168
406	26.45093576
407	26.44127925
408	26.43611567
409	26.43020809
410	26.42112556
411	26.41181121
412	26.40889886
413	26.40735085
414	26.40449411
415	26.39493032
416	26.3885863
417	26.3824709
418	26.37656406
419	26.36886595
420	26.36187058
421	26.35861603
422	26.3493962
423	26.34564892
424	26.33602991
425	26.32974475
426	26.32643343
427	26.31782297
428	26.30390085
429	26.29899068
430	26.28771729
431	26.27553478
432	26.26513912
433	26.26174304
434	26.25774348
435	26.25375811
436	26.2490713
437	26.24666778
438	26.23924737
439	26.23128214
440	26.22615074
441	26.22217641
442	26.21875077
443	26.20177801
444	26.19912349
445	26.19647274
446	26.19422085
447	26.18545716
448	26.18027777
449	26.17609542
450	26.17359878
451	26.16447499
452	26.16184132
453	26.15443281
454	26.15076343
455	26.14642033
456	26.14289052
457	26.13942565
458	26.12897999
459	26.12303142
460	26.11691259
461	26.11069425
462	26.10640008
463	26.10140718
464	26.09521904
465	26.09231089
466	26.08902345
467	26.08367893
468	26.0793393
469	26.07462615
470	26.07004521
471	26.06647264
472	26.06221628
473	26.05607511
474	26.05064558
475	26.04474442
476	26.04191387
477	26.03661887
478	26.03263295
479	26.02911208
480	26.02507749
481	26.02103327
482	26.0182644
483	26.01256353
484	26.00348861
485	25.99985896
486	25.99539326
487	25.98808918
488	25.9844687
489	25.98071247
490	25.97825378
491	25.97532865
492	25.97167887
493	25.96759814
494	25.96331937
495	25.96126879
496	25.9592719
497	25.95440314
498	25.9463945
499	25.94296721
500	25.94004772
501	25.93713197
502	25.9293157
503	25.92530475
504	25.92124767
505	25.91843328
506	25.91128303
507	25.90658359
508	25.8995075
509	25.89409005
510	25.89137414
511	25.88689709
512	25.88109952
513	25.87831576
514	25.8737608
515	25.86816364
516	25.86320441
517	25.85774469
518	25.85604564
519	25.84130861
520	25.83509188
521	25.83094528
522	25.82668624
523	25.82291626
524	25.81623086
525	25.81244493
526	25.80679986
527	25.79660977
528	25.78879635
529	25.78239924
530	25.77826914
531	25.77563171
532	25.77124498
533	25.76567895
534	25.76337677
535	25.75858603
536	25.75535985
537	25.74927139
538	25.74181341
539	25.73105057
540	25.72479225
541	25.72113337
542	25.71612577
543	25.71005413
544	25.70520671
545	25.70268589
546	25.69772966
547	25.69430811
548	25.69225731
549	25.68795161
550	25.68448852
551	25.68093735
552	25.67796511
553	25.67429444
554	25.66812067
555	25.66618123
556	25.66043505
557	25.65826605
558	25.65411018
559	25.65061973
560	25.64826094
561	25.64461352
562	25.63081828
563	25.62592063
564	25.62168162
565	25.61742231
566	25.61417335
567	25.61219183
568	25.60799332
569	25.60131385
570	25.59686535
571	25.59440508
572	25.59196142
573	25.58788583
574	25.58516077
575	25.58106988
576	25.57856399
577	25.57393134
578	25.57198336
579	25.56843573
580	25.56020764
581	25.55563116
582	25.54054593
583	25.53498869
584	25.53071804
585	25.52652767
586	25.52283144
587	25.51834299
588	25.51518172
589	25.51115948
590	25.50486246
591	25.50139647
592	25.49611747
593	25.49213802
594	25.48974973
595	25.48628977
596	25.48349325
597	25.47989136
598	25.47761396
599	25.47445754
600	25.46836249
601	25.46387106
602	25.46020029
603	25.45616599
604	25.45421583
605	25.45025333
606	25.44771451
607	25.44472584
608	25.44219587
609	25.43690922
610	25.43440287
611	25.43026405
612	25.42562932
613	25.42033046
614	25.41701711
615	25.41397603
616	25.41181954
617	25.40792756
618	25.4024053
619	25.39792393
620	25.39458309
621	25.39303895
622	25.38616841
623	25.38356211
624	25.37992656
625	25.3759421
626	25.36801488
627	25.3643425
628	25.36136429
629	25.35649792
630	25.35267483
631	25.34764228
632	25.3448094
633	25.34048597
634	25.33639307
635	25.33337251
636	25.32663968
637	25.32245261
638	25.32003757
639	25.31825843
640	25.31220411
641	25.30850498
642	25.30494791
643	25.29905679
644	25.29612863
645	25.2938362
646	25.29141925
647	25.28974706
648	25.2877733
649	25.28095794
650	25.2772261
651	25.26766185
652	25.26375769
653	25.26169215
654	25.2537619
655	25.25049504
656	25.24847828
657	25.243992
658	25.23997879
659	25.23681164
660	25.22742023
661	25.22502191
662	25.21373252
663	25.21164819
664	25.20942121
665	25.20655899
666	25.20033087
667	25.19807969
668	25.19582801
669	25.19208611
670	25.18878694
671	25.17788768
672	25.17575206
673	25.17041051
674	25.16854453
675	25.16495929
676	25.16096658
677	25.15830173
678	25.1566964
679	25.15485796
680	25.15273447
681	25.13953222
682	25.13674145
683	25.13369561
684	25.12842513
685	25.12536965
686	25.12120872
687	25.11772309
688	25.1123959
689	25.10898237
690	25.10391133
691	25.10056375
692	25.09365017
693	25.08913225
694	25.08463871
695	25.08228846
696	25.08116885
697	25.07972749
698	25.07700251
699	25.07170194
700	25.06991712
701	25.06832225
702	25.06240469
703	25.06005519
704	25.0564787
705	25.05260827
706	25.04798629
707	25.03974616
708	25.03525524
709	25.02885781
710	25.02629987
711	25.02226432
712	25.0184647
713	25.01750117
714	25.01330764
715	25.01020311
716	25.00872204
717	25.00589532
718	25.00324499
719	24.99985837
720	24.99565176
721	24.99283857
722	24.98795376
723	24.97760367
724	24.97500169
725	24.97177239
726	24.96991885
727	24.96654056
728	24.96366583
729	24.96118251
730	24.95742096
731	24.94701153
732	24.94314927
733	24.94176939
734	24.93803504
735	24.93606096
736	24.93305995
737	24.93055164
738	24.92783732
739	24.92618608
740	24.92350186
741	24.91986204
742	24.91749693
743	24.91260778
744	24.90967047
745	24.90351442
746	24.90001859
747	24.89746773
748	24.89312271
749	24.890092
750	24.88708176
751	24.8837269
752	24.87690794
753	24.87318195
754	24.8658969
755	24.86204243
756	24.85892775
757	24.85522449
758	24.85022073
759	24.84748166
760	24.84546484
761	24.84094456
762	24.8358855
763	24.83230462
764	24.82954668
765	24.82104608
766	24.81736881
767	24.81372923
768	24.81077487
769	24.8013369
770	24.79849661
771	24.79122655
772	24.78972887
773	24.7883698
774	24.78394
775	24.7804779
776	24.77664345
777	24.77469903
778	24.77140139
779	24.76339093
780	24.75657063
781	24.75160104
782	24.74751532
783	24.74536101
784	24.74315781
785	24.74042745
786	24.73505682
787	24.73200319
788	24.72959735
789	24.72784396
790	24.72623255
791	24.72144818
792	24.71933128
793	24.71522563
794	24.71206298
795	24.71117737
796	24.70862494
797	24.70603416
798	24.70328829
799	24.69958655
800	24.69420282
801	24.6923296
802	24.68472804
803	24.68176008
804	24.677838
805	24.67355847
806	24.66920396
807	24.66671097
808	24.66281055
809	24.65404842
810	24.64817869
811	24.64536139
812	24.64362635
813	24.63867806
814	24.63618836
815	24.63378052
816	24.63169621
817	24.62899153
818	24.62670757
819	24.62332089
820	24.62145804
821	24.61885556
822	24.61092818
823	24.60506258
824	24.60134384
825	24.59814867
826	24.59680999
827	24.59352253
828	24.5911519
829	24.58651864
830	24.58306216
831	24.58135123
832	24.57807571
833	24.57471032
834	24.57236519
835	24.56745518
836	24.56483593
837	24.56071311
838	24.55632629
839	24.55258783
840	24.55068968
841	24.54760798
842	24.54628885
843	24.54386175
844	24.53907902
845	24.53736871
846	24.53073315
847	24.51951831
848	24.51438858
849	24.51240215
850	24.51025823
851	24.50800902
852	24.50540281
853	24.50220413
854	24.49980236
855	24.49798112
856	24.49589196
857	24.49263404
858	24.48738433
859	24.48371136
860	24.4730547
861	24.46916832
862	24.46472682
863	24.4628201
864	24.46018508
865	24.4584738
866	24.45622548
867	24.45443598
868	24.45163682
869	24.44944143
870	24.44337198
871	24.44026377
872	24.43694686
873	24.43447974
874	24.43146657
875	24.4292498
876	24.42715998
877	24.42553396
878	24.42256147
879	24.42123701
880	24.41656969
881	24.41562313
882	24.41211253
883	24.4075518
884	24.40536736
885	24.40132923
886	24.39655097
887	24.39516743
888	24.39236794
889	24.38941048
890	24.38649985
891	24.38473549
892	24.38357837
893	24.38222104
894	24.38059428
895	24.37744687
896	24.37354649
897	24.37047544
898	24.366439
899	24.36110896
900	24.35779025
901	24.35578236
902	24.35197478
903	24.34934329
904	24.34744797
905	24.34501012
906	24.34257979
907	24.33944667
908	24.33646416
909	24.33157082
910	24.32970986
911	24.326525
912	24.32475146
913	24.32193708
914	24.32044475
915	24.31918872
916	24.31133801
917	24.30953873
918	24.30738156
919	24.30297236
920	24.30201757
921	24.2983228
922	24.29599422
923	24.29395058
924	24.29098807
925	24.28922133
926	24.28680125
927	24.28533505
928	24.28162927
929	24.27768673
930	24.27467313
931	24.2730333
932	24.27070998
933	24.26870205
934	24.26721234
935	24.26386062
936	24.26018914
937	24.25874801
938	24.25619611
939	24.25361647
940	24.25134621
941	24.24776111
942	24.24037393
943	24.23320048
944	24.23076939
945	24.22965778
946	24.22772668
947	24.22364511
948	24.22104326
949	24.21768903
950	24.21358214
951	24.20949669
952	24.20628175
953	24.20471873
954	24.20371725
